                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.49555,                0.31269,                0.85673,                0.84772,                0.70673,                0.71178,                0.54624,                0.99291,                 0.7747,                 1.0855,             0.00094085,             0.00094085,             0.00094085
                     90,                0.49534,                0.31865,                0.85067,                0.83845,                0.72596,                0.73348,                0.56252,                0.98454,                0.70856,                 1.0912,              0.0009326,              0.0009326,              0.0009326
                     91,                0.48183,                0.32084,                0.86543,                0.80706,                0.75481,                0.72587,                0.55588,                0.99136,                0.76732,                 1.1176,             0.00092435,             0.00092435,             0.00092435
                     92,                0.47278,                 0.3061,                0.86187,                0.78236,                0.72656,                0.73977,                0.54979,                0.99572,                0.78684,                 1.1015,              0.0009161,              0.0009161,              0.0009161
                     93,                0.48238,                0.31619,                0.87704,                0.83921,                 0.7412,                0.72257,                0.53628,                 1.0338,                0.75529,                 1.1702,             0.00090785,             0.00090785,             0.00090785
                     94,                0.47368,                 0.3075,                  0.859,                0.80485,                0.75481,                0.73027,                0.53438,                 1.0584,                0.68659,                 1.1728,              0.0008996,              0.0008996,              0.0008996
                     95,                0.47055,                0.30348,                 0.8472,                0.77991,                0.74247,                0.70515,                0.52379,                 1.0524,                0.70467,                  1.187,             0.00089134,             0.00089134,             0.00089134
                     96,                0.45426,                0.30271,                0.85886,                0.82963,                0.72596,                0.75314,                0.57169,                0.99356,                0.70804,                 1.1215,             0.00088309,             0.00088309,             0.00088309
                     97,                 0.4583,                0.29832,                0.85582,                0.82419,                0.78647,                0.75486,                0.54925,                 1.0728,                0.68238,                 1.1824,             0.00087484,             0.00087484,             0.00087484
                     98,                0.46016,                0.29776,                0.85468,                0.81111,                0.76175,                0.73554,                0.52265,                 1.0801,                 0.6792,                 1.1903,             0.00086659,             0.00086659,             0.00086659
                     99,                0.46544,                0.29978,                0.84685,                0.81396,                0.71996,                0.73064,                0.54458,                 1.0184,                 0.6487,                  1.152,             0.00085834,             0.00085834,             0.00085834
                    100,                0.44769,                0.28737,                0.84881,                0.83433,                0.73317,                0.72792,                 0.5593,                0.98272,                0.60481,                 1.1642,             0.00085009,             0.00085009,             0.00085009
                    101,                0.44557,                0.28971,                0.85817,                0.85376,                0.76527,                0.73539,                0.57004,                 1.0313,                0.59611,                 1.2087,             0.00084184,             0.00084184,             0.00084184
                    102,                0.44847,                0.29636,                0.85459,                0.81731,                0.76385,                0.75886,                0.57363,                0.99639,                0.66066,                 1.1743,             0.00083358,             0.00083358,             0.00083358
                    103,                0.43139,                 0.2867,                 0.8579,                 0.8603,                0.76073,                0.76573,                0.57989,                 1.0025,                0.72424,                 1.1762,             0.00082533,             0.00082533,             0.00082533
                    104,                0.45034,                0.30045,                0.85161,                0.81196,                0.73558,                0.74017,                0.55915,                 1.0923,                0.70056,                 1.2199,             0.00081708,             0.00081708,             0.00081708
                    105,                0.44391,                0.29096,                0.84383,                0.83909,                0.67403,                0.70842,                0.54226,                  1.034,                0.72767,                 1.1648,             0.00080883,             0.00080883,             0.00080883
